DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1016/j.mri.2022.12.003,36496097.0,,Diffusion radiomics for subtyping and clustering in autism spectrum disorder: A preclinical study,"Autism spectrum disorder (ASD) is a highly prevalent, heterogenous neurodevelopmental disorder. Neuroimaging methods such as functional, structural, and diffusion MRI have been used to identify candidate imaging biomarkers for ASD, but current findings remain non-specific and likely arise from the heterogeneity present in ASD. To account for this, efforts to subtype ASD have emerged as a potential strategy for both the study of ASD and advancement of tailored behavioral therapies and therapeutics. Towards these ends, to improve upon current neuroimaging methods, we propose combining biologically sensitive neurite orientation dispersion and density index (NODDI) diffusion MR imaging with radiomics image processing to create a new methodological approach that, we hypothesize, can sensitively and specifically capture neurobiology. We demonstrate this method can sensitively distinguish differences between four genetically distinct rat models of ASD (Fmr1, Pten, Nrxn1, Disc1). Further, we demonstrate diffusion radiomic analyses hold promise for subtyping in ASD as we show unsupervised clustering of NODDI radiomic data generates clusters specific to the underlying genetic differences between the animal models. Taken together, our findings suggest the unique application of radiomic analysis on NODDI diffusion MRI may have the capacity to sensitively and specifically disambiguate the neurobiological heterogeneity present in the ASD population.","Ajay Paul Singh,Vansh Jain,Jerry Yu",,2023.0
10.1148/radiol.211597,35579522.0,,"Radiomic Analysis: Study Design, Statistical Analysis, and Other Bias Mitigation Strategies","Rapid advances in automated methods for extracting large numbers of quantitative features from medical images have led to tremendous growth of publications reporting on radiomic analyses. Translation of these research studies into clinical practice can be hindered by biases introduced during the design, analysis, or reporting of the studies. Herein, the authors review biases, sources of variability, and pitfalls that frequently arise in radiomic research, with an emphasis on study design and statistical analysis considerations. Drawing on existing work in the statistical, radiologic, and machine learning literature, approaches for avoiding these pitfalls are described.","Chaya S. Moskowitz,Chaya S. Moskowitz,Mattea Welch,Michael A. Jacobs,Mattea Welch,Michael A. Jacobs,Brenda F. Kurland,Brenda F. Kurland,Amber L. Simpson,Amber L. Simpson",Radiology,2022.0
10.3389/fonc.2021.771787,,,Radiomics for Identification and Prediction in Metastatic Prostate Cancer: A Review of Studies,"Metastatic Prostate Cancer (mPCa) is associated with a poor patient prognosis. mPCa spreads throughout the body, often to bones, with spatial and temporal variations that make the clinical management of the disease difficult. The evolution of the disease leads to spatial heterogeneity that is extremely difficult to characterise with solid biopsies. Imaging provides the opportunity to quantify disease spread. Advanced image analytics methods, including radiomics, offer the opportunity to characterise heterogeneity beyond what can be achieved with simple assessment. Radiomics analysis has the potential to yield useful quantitative imaging biomarkers that can improve the early detection of mPCa, predict disease progression, assess response, and potentially inform the choice of treatment procedures. Traditional radiomics analysis involves modelling with hand-crafted features designed using significant domain knowledge. On the other hand, artificial intelligence techniques such as deep learning can facilitate end-to-end automated feature extraction and model generation with minimal human intervention. Radiomics models have the potential to become vital pieces in the oncology workflow, however, the current limitations of the field, such as limited reproducibility, are impeding their translation into clinical practice. This review provides an overview of the radiomics methodology, detailing critical aspects affecting the reproducibility of features, and providing examples of how artificial intelligence techniques can be incorporated into the workflow. The current landscape of publications utilising radiomics methods in the assessment and treatment of mPCa are surveyed and reviewed. Associated studies have incorporated information from multiple imaging modalities, including bone scintigraphy, CT, PET with varying tracers, multiparametric MRI together with clinical covariates, spanning the prediction of progression through to overall survival in varying cohorts. The methodological quality of each study is quantified using the radiomics quality score. Multiple deficits were identified, with the lack of prospective design and external validation highlighted as major impediments to clinical translation. These results inform some recommendations for future directions of the field.","Jake Kendrick,Jake Kendrick,Roslyn J. Francis,Roslyn J. Francis,Ghulam Mubashar Hassan,Pejman Rowshanfarzad,Ghulam Mubashar Hassan,Robert Jeraj,Pejman Rowshanfarzad,Collin Kasisi,Robert Jeraj,Collin Kasisi,Branimir Rusanov,Martin A. Ebert,Branimir Rusanov,Martin A. Ebert",Frontiers in Oncology,2021.0
10.3390/jcm12154891,37568293.0,,Associations between Vertebral Localized Contrast Changes and Adjacent Annular Fissures in Patients with Low Back Pain: A Radiomics Approach,"Low back pain (LBP) is multifactorial and associated with various spinal tissue changes, including intervertebral disc fissures, vertebral pathology, and damaged endplates. However, current radiological markers lack specificity and individualized diagnostic capability, and the interactions between the various markers are not fully clear. Radiomics, a data-driven analysis of radiological images, offers a promising approach to improve evaluation and deepen the understanding of spinal changes related to LBP. This study investigated possible associations between vertebral changes and annular fissures using radiomics. A dataset of 61 LBP patients who underwent conventional magnetic resonance imaging followed by discography was analyzed. Radiomics features were extracted from segmented vertebrae and carefully reduced to identify the most relevant features associated with annular fissures. The results revealed three important texture features that display concentrated high-intensity gray levels, extensive regions with elevated gray levels, and localized areas with reduced gray levels within the vertebrae. These features highlight patterns within vertebrae that conventional classification systems cannot reflect on distinguishing between vertebrae adjacent to an intervertebral disc with or without an annular fissure. As such, the present study reveals associations that contribute to the understanding of pathophysiology and may provide improved diagnostics of LBP.","Christian Waldenberg,Helena Brisby,Hanna Hebelka,Kerstin Lagerstrand",,2023.0
10.3390/app131810061,,,How Can Radiomics Help the Clinical Management of Patients with Acute Ischemic Stroke?,"Acute ischemic stroke (AIS) is the loss of neurological function due to a sudden reduction in cerebral blood flow and is a leading cause of disability and death worldwide. The field of radiological imaging has experienced growth in recent years, which could be boosted by the advent of artificial intelligence. One of the latest innovations in artificial intelligence is radiomics, which is based on the fact that a large amount of quantitative data can be extracted from radiological images, from which patterns can be identified and associated with specific pathologies. Since its inception, radiomics has been particularly associated with the field of oncology and has shown promising results in a wide range of clinical situations. The performance of radiomics in non-tumour pathologies has been increasingly explored in recent years, and the results continue to be promising. The aim of this review is to explore the potential applications of radiomics in AIS patients and to theorize how radiomics may change the paradigm for these patients in the coming years.","Jacobo Porto-Álvarez,Antonio Jesús Mosqueira,Julia Martínez Fernández,Massimo Lopez,Miguel Ulla,Fernando Vázquez Herrero,J.M. Pumar,Manuel Rodríguez‐Yáñez,Ana Cristina Pereiro,Alberto Bolón Villaverde,Ramón Iglesias‐Rey,Miguel Souto Bayarri",,2023.0
10.1016/j.crad.2022.08.149,36639175.0,,Introduction to radiomics for a clinical audience,"Radiomics is a rapidly developing field of research focused on the extraction of quantitative features from medical images, thus converting these digital images into minable, high-dimensional data, which offer unique biological information that can enhance our understanding of disease processes and provide clinical decision support. To date, most radiomics research has been focused on oncological applications; however, it is increasingly being used in a raft of other diseases. This review gives an overview of radiomics for a clinical audience, including the radiomics pipeline and the common pitfalls associated with each stage. Key studies in oncology are presented with a focus on both those that use radiomics analysis alone and those that integrate its use with other multimodal data streams. Importantly, clinical applications outside oncology are also presented. Finally, we conclude by offering a vision for radiomics research in the future, including how it might impact our practice as radiologists.","Cathal McCague,Syafiq Ramlee,Marika Reinius,Ian Selby,David Hulse,Pubudu Piyatissa,Vlad Bura,Mireia Crispín-Ortuzar,Evis Sala,Ramona Woitek",,2023.0
10.3390/diagnostics13111863,37296715.0,,Machine Learning Assisting the Prediction of Clinical Outcomes following Nucleoplasty for Lumbar Degenerative Disc Disease,"Lumbar degenerative disc disease (LDDD) is a leading cause of chronic lower back pain; however, a lack of clear diagnostic criteria and solid LDDD interventional therapies have made predicting the benefits of therapeutic strategies challenging. Our goal is to develop machine learning (ML)-based radiomic models based on pre-treatment imaging for predicting the outcomes of lumbar nucleoplasty (LNP), which is one of the interventional therapies for LDDD.The input data included general patient characteristics, perioperative medical and surgical details, and pre-operative magnetic resonance imaging (MRI) results from 181 LDDD patients receiving lumbar nucleoplasty. Post-treatment pain improvements were categorized as clinically significant (defined as a ≥80% decrease in the visual analog scale) or non-significant. To develop the ML models, T2-weighted MRI images were subjected to radiomic feature extraction, which was combined with physiological clinical parameters. After data processing, we developed five ML models: support vector machine, light gradient boosting machine, extreme gradient boosting, extreme gradient boosting random forest, and improved random forest. Model performance was measured by evaluating indicators, such as the confusion matrix, accuracy, sensitivity, specificity, F1 score, and area under the receiver operating characteristic curve (AUC), which were acquired using an 8:2 allocation of training to testing sequences.Among the five ML models, the improved random forest algorithm had the best performance, with an accuracy of 0.76, a sensitivity of 0.69, a specificity of 0.83, an F1 score of 0.73, and an AUC of 0.77. The most influential clinical features included in the ML models were pre-operative VAS and age. In contrast, the most influential radiomic features had the correlation coefficient and gray-scale co-occurrence matrix.We developed an ML-based model for predicting pain improvement after LNP for patients with LDDD. We hope this tool will provide both doctors and patients with better information for therapeutic planning and decision-making.","Po-Fan Chiu,Robert Chen-Hao Chang,Yung-Chi Lai,Kuo-Chen Wu,Kuan-Pin Wang,You-Pen Chiu,Hui-Ru Ji,Chia Hung Kao,Cheng-Di Chiu",,2023.0
10.1002/viw.20230032,,,"Nuclear medicine radiomics in digestive system tumors: Concept, applications, challenges, and future perspectives","Abstract Radiomics aims to develop novel biomarkers and provide relevant deeper subvisual information about pathology, immunophenotype, and tumor microenvironment. It uses automated or semiautomated quantitative analysis of high‐dimensional images to improve characterization, diagnosis, and prognosis. Recent years have seen a rapid increase in radiomics applications in nuclear medicine, leading to some promising research results in digestive system oncology, which have been driven by big data analysis and the development of artificial intelligence. Although radiomics advances one step further toward the non‐invasive precision medical analysis, it is still a step away from clinical application and faces many challenges. This review article summarizes the available literature on digestive system tumors regarding radiomics in nuclear medicine. First, we describe the workflow and steps involved in radiomics analysis. Subsequently, we discuss the progress in clinical application regarding the utilization of radiomics for distinguishing between various diseases and evaluating their prognosis, and demonstrate how radiomics advances this field. Finally, we offer our viewpoint on how the field can progress by addressing the challenges facing clinical implementation.","Wei Huang,Zihao Tao,Muhsin H. Younis,Weibo Cai,Kang Liu",,2023.0
10.1007/s00261-023-04071-0,37889265.0,,Radiomics in CT and MR imaging of the liver and pancreas: tools with potential for clinical application,,"M. Álvaro Berbís,Félix Paulano Godino,Júlia Rodríguez‐Comas,Enrique Nava,Roberto García‐Figueiras,Sandra Baleato-González,Antonio Luna Alcalá",,2023.0
10.14444/8501,37193607.0,,Radiomics in Spine Surgery,"Radiomics is an emerging approach to analyze clinical images with the purpose of revealing quantitative features that are unvisible to the naked eye. Radiomic features can be further combined with clinical data and genomic information to formulate prediction models using machine learning algorithms or manual statistical analysis. While radiomics has been classically applied to tumor analysis, there is promising research in its application to spine surgery, including spinal deformity, oncology, and osteoporosis detection. This article reviews the fundamental principles of radiomic analysis, the current literature relating to the spine, and the limitations of this approach.","Daniel Alsoof,Christopher L. McDonald,Wesley M. Durand,Bassel G. Diebo,Eren O. Kuris,Alan H. Daniels",,2023.0
