DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1016/j.mri.2022.12.003,36496097.0,,Diffusion radiomics for subtyping and clustering in autism spectrum disorder: A preclinical study,"Autism spectrum disorder (ASD) is a highly prevalent, heterogenous neurodevelopmental disorder. Neuroimaging methods such as functional, structural, and diffusion MRI have been used to identify candidate imaging biomarkers for ASD, but current findings remain non-specific and likely arise from the heterogeneity present in ASD. To account for this, efforts to subtype ASD have emerged as a potential strategy for both the study of ASD and advancement of tailored behavioral therapies and therapeutics. Towards these ends, to improve upon current neuroimaging methods, we propose combining biologically sensitive neurite orientation dispersion and density index (NODDI) diffusion MR imaging with radiomics image processing to create a new methodological approach that, we hypothesize, can sensitively and specifically capture neurobiology. We demonstrate this method can sensitively distinguish differences between four genetically distinct rat models of ASD (Fmr1, Pten, Nrxn1, Disc1). Further, we demonstrate diffusion radiomic analyses hold promise for subtyping in ASD as we show unsupervised clustering of NODDI radiomic data generates clusters specific to the underlying genetic differences between the animal models. Taken together, our findings suggest the unique application of radiomic analysis on NODDI diffusion MRI may have the capacity to sensitively and specifically disambiguate the neurobiological heterogeneity present in the ASD population.","Ajay Paul Singh,Vansh Jain,Jerry Yu",,2023.0
10.3390/jcm12154891,37568293.0,,Associations between Vertebral Localized Contrast Changes and Adjacent Annular Fissures in Patients with Low Back Pain: A Radiomics Approach,"Low back pain (LBP) is multifactorial and associated with various spinal tissue changes, including intervertebral disc fissures, vertebral pathology, and damaged endplates. However, current radiological markers lack specificity and individualized diagnostic capability, and the interactions between the various markers are not fully clear. Radiomics, a data-driven analysis of radiological images, offers a promising approach to improve evaluation and deepen the understanding of spinal changes related to LBP. This study investigated possible associations between vertebral changes and annular fissures using radiomics. A dataset of 61 LBP patients who underwent conventional magnetic resonance imaging followed by discography was analyzed. Radiomics features were extracted from segmented vertebrae and carefully reduced to identify the most relevant features associated with annular fissures. The results revealed three important texture features that display concentrated high-intensity gray levels, extensive regions with elevated gray levels, and localized areas with reduced gray levels within the vertebrae. These features highlight patterns within vertebrae that conventional classification systems cannot reflect on distinguishing between vertebrae adjacent to an intervertebral disc with or without an annular fissure. As such, the present study reveals associations that contribute to the understanding of pathophysiology and may provide improved diagnostics of LBP.","Christian Waldenberg,Helena Brisby,Hanna Hebelka,Kerstin Lagerstrand",,2023.0
10.1016/j.crad.2022.08.149,36639175.0,,Introduction to radiomics for a clinical audience,"Radiomics is a rapidly developing field of research focused on the extraction of quantitative features from medical images, thus converting these digital images into minable, high-dimensional data, which offer unique biological information that can enhance our understanding of disease processes and provide clinical decision support. To date, most radiomics research has been focused on oncological applications; however, it is increasingly being used in a raft of other diseases. This review gives an overview of radiomics for a clinical audience, including the radiomics pipeline and the common pitfalls associated with each stage. Key studies in oncology are presented with a focus on both those that use radiomics analysis alone and those that integrate its use with other multimodal data streams. Importantly, clinical applications outside oncology are also presented. Finally, we conclude by offering a vision for radiomics research in the future, including how it might impact our practice as radiologists.","Cathal McCague,Syafiq Ramlee,Marika Reinius,Ian Selby,David Hulse,Pubudu Piyatissa,Vlad Bura,Mireia Crispín-Ortuzar,Evis Sala,Ramona Woitek",,2023.0
10.1002/viw.20230032,,,"Nuclear medicine radiomics in digestive system tumors: Concept, applications, challenges, and future perspectives","Abstract Radiomics aims to develop novel biomarkers and provide relevant deeper subvisual information about pathology, immunophenotype, and tumor microenvironment. It uses automated or semiautomated quantitative analysis of high‐dimensional images to improve characterization, diagnosis, and prognosis. Recent years have seen a rapid increase in radiomics applications in nuclear medicine, leading to some promising research results in digestive system oncology, which have been driven by big data analysis and the development of artificial intelligence. Although radiomics advances one step further toward the non‐invasive precision medical analysis, it is still a step away from clinical application and faces many challenges. This review article summarizes the available literature on digestive system tumors regarding radiomics in nuclear medicine. First, we describe the workflow and steps involved in radiomics analysis. Subsequently, we discuss the progress in clinical application regarding the utilization of radiomics for distinguishing between various diseases and evaluating their prognosis, and demonstrate how radiomics advances this field. Finally, we offer our viewpoint on how the field can progress by addressing the challenges facing clinical implementation.","Wei Huang,Zihao Tao,Muhsin H. Younis,Weibo Cai,Kang Liu",,2023.0
10.1007/s00261-023-04071-0,37889265.0,,Radiomics in CT and MR imaging of the liver and pancreas: tools with potential for clinical application,,"M. Álvaro Berbís,Félix Paulano Godino,Júlia Rodríguez‐Comas,Enrique Nava,Roberto García‐Figueiras,Sandra Baleato-González,Antonio Luna Alcalá",,2023.0
10.1148/radiol.211604,35230182.0,,A Novel Benchmarking Approach to Assess the Agreement among Radiomic Tools,"Background The translation of radiomic models into clinical practice is hindered by the limited reproducibility of features across software and studies. Standardization is needed to accelerate this process and to bring radiomics closer to clinical deployment. Purpose To assess the standardization level of seven radiomic software programs and investigate software agreement as a function of built-in image preprocessing (eg, interpolation and discretization), feature aggregation methods, and the morphological characteristics (ie, volume and shape) of the region of interest (ROI). Materials and Methods The study was organized into two phases: In phase I, the two Image Biomarker Standardization Initiative (IBSI) phantoms were used to evaluate the IBSI compliance of seven software programs. In phase II, the reproducibility of all IBSI-standardized radiomic features across tools was assessed with two custom Italian multicenter Shared Understanding of Radiomic Extractors (ImSURE) digital phantoms that allowed, in conjunction with a systematic feature extraction, observations on whether and how feature matches between program pairs varied depending on the preprocessing steps, aggregation methods, and ROI characteristics. Results In phase I, the software programs showed different levels of completeness (ie, the number of computable IBSI benchmark values). However, the IBSI-compliance assessment revealed that they were all standardized in terms of feature implementation. When considering additional preprocessing steps, for each individual program, match percentages fell by up to 30%. In phase II, the ImSURE phantoms showed that software agreement was dependent on discretization and aggregation as well as on ROI shape and volume factors. Conclusion The agreement of radiomic software varied in relation to factors that had already been standardized (eg, interpolation and discretization methods) and factors that need standardization. Both dependences must be resolved to ensure the reproducibility of radiomic features and to pave the way toward the clinical adoption of radiomic models. © RSNA, 2022 Online supplemental material is available for this article. See also the editorial by Steiger in this issue.","Andrea Bettinelli,Andrea Bettinelli,Francesca Marturano,Francesca Marturano,Michele Avanzo,Michele Avanzo,Emiliano Loi,Emiliano Loi,E. Menghi,E. Menghi,Emilio Mezzenga,Emilio Mezzenga,G. Pirrone,G. Pirrone,Anna Sarnelli,Anna Sarnelli,Lidia Strigari,Lidia Strigari,Silvia Strolin,Silvia Strolin,Marta Paiusco,M. Paiusco",Radiology,2022.0
10.3389/fneur.2022.905761,35903112.0,,Cervical Cancer Imaging Features Associated With ADRB1 as a Risk Factor for Cerebral Neurovascular Metastases,"Bioinformatics tools are used to create a clinical prediction model for cervical cancer metastasis and to investigate the neurovascular-related genes that are involved in brain metastasis of cervical cancer. One hundred eighteen patients with cervical cancer were divided into two groups based on the presence or absence of metastases, and the clinical data and imaging findings of the two groups were compared retrospectively. The nomogram-based model was successfully constructed by taking into account four clinical characteristics (age, stage, N, and T) as well as one imaging characteristic (original_glszm_GrayLevelVariance Rad-score). In patients with cervical cancer, headaches and vomiting were more often reported in the brain metastasis group than in the other metastasis groups. According to the TCGA data, mRNA differential gene expression analysis of patients with cervical cancer revealed an increase in the expression of neurovascular-related gene Adrenoceptor Beta 1 ( ADRB1 ) in the brain metastasis group. An analysis of the correlation between imaging features and ADRB1 expression revealed that ADRB1 expression was significantly higher in the low Rad-score group compared with the high Rad-score group ( P = 0.025). Therefore, ADRB1 expression in cervical cancer was correlated with imaging features and was associated as a risk factor for cerebral neurovascular metastases. This study developed a nomogram prediction model for cervical cancer metastasis using age, stage, N, T and original_glszm_GrayLevelVariance. As a risk factor associated with the development of cerebral neurovascular metastases of cervical cancer, ADRB1 expression was significantly higher in brain metastases from cervical cancer.","Xingju Zheng,Xingju Zheng,Shilin Xu,Shilin Xu,JiaYing Wu,Jiaying Wu",Frontiers in Neurology,2022.0
10.3390/jimaging8110303,36354876.0,,Harmonization Strategies in Multicenter MRI-Based Radiomics,"Radiomics analysis is a powerful tool aiming to provide diagnostic and prognostic patient information directly from images that are decoded into handcrafted features, comprising descriptors of shape, size and textural patterns. Although radiomics is gaining momentum since it holds great promise for accelerating digital diagnostics, it is susceptible to bias and variation due to numerous inter-patient factors (e.g., patient age and gender) as well as inter-scanner ones (different protocol acquisition depending on the scanner center). A variety of image and feature based harmonization methods has been developed to compensate for these effects; however, to the best of our knowledge, none of these techniques has been established as the most effective in the analysis pipeline so far. To this end, this review provides an overview of the challenges in optimizing radiomics analysis, and a concise summary of the most relevant harmonization techniques, aiming to provide a thorough guide to the radiomics harmonization process.","Elisavet Stamoulou,Elisavet Stamoulou,Constantinos Spanakis,Constantinos Spanakis,Georgios C. Manikis,Georgios C. Manikis,Georgia S. Karanasiou,Georgia S. Karanasiou,Grigoris Grigoriadis,Grigoris Grigoriadis,Theodoros Foukakis,Theodoros Foukakis,Manolis Tsiknakis,Manolis Tsiknakis,Dimitrios I. Fotiadis,Dimitrios I. Fotiadis,Kostas Marias,Kostas Marias",Journal of Imaging,2022.0
10.1088/1361-6560/ac7fd7,35803254.0,,Impact of image quality on radiomics applications,"Radiomics features extracted from medical images have been widely reported to be useful in the patient specific outcome modeling for variety of assessment and prediction purposes. Successful application of radiomics features as imaging biomarkers, however, is dependent on the robustness of the approach to the variation in each step of the modeling workflow. Variation in the input image quality is one of the main sources that impacts the reproducibility of radiomics analysis when a model is applied to broader range of medical imaging data. The quality of medical image is generally affected by both the scanner related factors such as image acquisition/reconstruction settings and the patient related factors such as patient motion. This article aimed to review the published literatures in this field that reported the impact of various imaging factors on the radiomics features through the change in image quality. The literatures were categorized by different imaging modalities and also tabulated based on the imaging parameters and the class of radiomics features included in the study. Strategies for image quality standardization were discussed based on the relevant literatures and recommendations for reducing the impact of image quality variation on the radiomics in multi-institutional clinical trial were summarized at the end of this article.","Yunfeng Cui,Yunfeng Cui,Fang-Fang Yin,Fang‐Fang Yin",Physics in Medicine and Biology,2022.0
10.1097/rli.0000000000000921,36070524.0,,Influence of Image Processing on Radiomic Features From Magnetic Resonance Imaging.,"Before implementing radiomics in routine clinical practice, comprehensive knowledge about the repeatability and reproducibility of radiomic features is required. The aim of this study was to systematically investigate the influence of image processing parameters on radiomic features from magnetic resonance imaging (MRI) in terms of feature values as well as test-retest repeatability.Utilizing a phantom consisting of 4 onions, 4 limes, 4 kiwifruits, and 4 apples, we acquired a test-retest dataset featuring 3 of the most commonly used MRI sequences on a 3 T scanner, namely, a T1-weighted, a T2-weighted, and a fluid-attenuated inversion recovery sequence, each at high and low resolution. After semiautomatic image segmentation, image processing with systematic variation of image processing parameters was performed, including spatial resampling, intensity discretization, and intensity rescaling. For each respective image processing setting, a total of 45 radiomic features were extracted, corresponding to the following 7 matrices/feature classes: conventional indices, histogram matrix, shape matrix, gray-level zone length matrix, gray-level run length matrix, neighboring gray-level dependence matrix, and gray-level cooccurrence matrix. Systematic differences of individual features between different resampling steps were assessed using 1-way analysis of variance with Tukey-type post hoc comparisons to adjust for multiple testing. Test-retest repeatability of radiomic features was measured using the concordance correlation coefficient, dynamic range, and intraclass correlation coefficient.Image processing influenced radiological feature values. Regardless of the acquired sequence and feature class, significant differences (P < 0.05) in feature values were found when the size of the resampled voxels was too large, that is, bigger than 3 mm. Almost all higher-order features depended strongly on intensity discretization. The effects of intensity rescaling were negligible except for some features derived from T1-weighted sequences. For all sequences, the percentage of repeatable features (concordance correlation coefficient and dynamic range ≥ 0.9) varied considerably depending on the image processing settings. The optimal image processing setting to achieve the highest percentage of stable features varied per sequence. Irrespective of image processing, the fluid-attenuated inversion recovery sequence in high-resolution overall yielded the highest number of stable features in comparison with the other sequences (89% vs 64%-78% for the respective optimal image processing settings). Across all sequences, the most repeatable features were generally obtained for a spatial resampling close to the originally acquired voxel size and an intensity discretization to at least 32 bins.Variation of image processing parameters has a significant impact on the values of radiomic features as well as their repeatability. Furthermore, the optimal image processing parameters differ for each MRI sequence. Therefore, it is recommended that these processing parameters be determined in corresponding test-retest scans before clinical application. Extensive repeatability, reproducibility, and validation studies as well as standardization are required before quantitative image analysis and radiomics can be reliably translated into routine clinical care.","Barbara Wichtmann,Barbara D. Wichtmann,F Harder,Felix N. Harder,Kilian Weiss,Kilian Weiss,Stefan O. Schönberg,Stefan O. Schönberg,Ulrike I. Attenberger,Ulrike I. Attenberger,Hatem Alkadhi,Hatem Alkadhi,Daniel Pinto dos Santos,Daniel Pinto dos Santos,Bettina Baeßler,Bettina Baeßler",Investigative Radiology,2022.0
